图片文件夹名称,x坐标,y坐标,z坐标
PIC_20190420_162718,98.2231 ,111.9505 ,1.5798 
PIC_20190420_163330,98.8136 ,112.0567 ,1.5787 
PIC_20190420_163843,99.9811 ,110.8706 ,1.5861 
PIC_20190420_164042,99.4933 ,110.4048 ,1.5860 
PIC_20190420_164227,98.9686 ,109.9181 ,1.5843 
PIC_20190420_164407,98.7212 ,109.4253 ,1.5830 
PIC_20190420_164601,98.1949 ,108.9949 ,1.5821 
PIC_20190420_164730,97.7772 ,108.5239 ,1.5843 
PIC_20190420_164947,97.4975 ,108.1670 ,1.5842 
PIC_20190420_165109,96.8564 ,106.6022 ,1.5875 
PIC_20190420_165407,97.2610 ,105.8288 ,1.5883 
PIC_20190420_165525,96.2192 ,104.7211 ,1.5873 
PIC_20190420_165700,95.1449 ,103.5547 ,1.5890 
PIC_20190420_165814,94.0290 ,102.2696 ,1.5995 
PIC_20190420_165914,92.9183 ,101.1615 ,1.6005 
PIC_20190420_170039,91.7741 ,100.0299 ,1.6010 
PIC_20190420_170135,90.6589 ,98.8235 ,1.6038 
PIC_20190420_170251,89.8793 ,97.8816 ,1.6098 
PIC_20190420_170352,90.4309 ,96.9626 ,1.6108 
PIC_20190420_170529,91.5002 ,97.9997 ,1.6049 
PIC_20190420_170640,92.6434 ,99.1305 ,1.5999 
PIC_20190420_170742,93.7527 ,100.3308 ,1.5979 
PIC_20190420_170843,94.9042 ,101.4697 ,1.5944 
PIC_20190420_170939,96.1336 ,102.6363 ,1.5959 
PIC_20190420_171037,97.1915 ,103.8252 ,1.5953 
PIC_20190420_171138,98.2460 ,104.9171 ,1.5929 
PIC_20190420_171235,99.3535 ,106.1073 ,1.5936 
PIC_20190420_171341,100.4360 ,107.2892 ,1.5899 
PIC_20190420_171500,101.5360 ,108.4236 ,1.5897 
PIC_20190420_171600,102.4238 ,107.5383 ,1.5899 
PIC_20190420_171653,101.2832 ,106.4000 ,1.5903 
PIC_20190420_171755,100.1857 ,105.2281 ,1.5932 
PIC_20190420_171851,99.0599 ,104.1028 ,1.5932 
PIC_20190420_172247,97.9521 ,102.9541 ,1.5977 
PIC_20190420_172436,96.8164 ,101.7800 ,1.6003 
PIC_20190420_172534,95.7097 ,100.4858 ,1.6013 
PIC_20190420_172749,108.8681 ,86.9878 ,4.4981 
PIC_20190420_172852,110.2918 ,88.4739 ,4.4985 
PIC_20190420_172958,111.4288 ,89.7354 ,4.4984 
PIC_20190420_173039,112.6831 ,91.0563 ,4.4955 
PIC_20190420_173133,113.6944 ,92.4160 ,4.4937 
PIC_20190420_173227,114.4940 ,93.6298 ,4.4981 
PIC_20190420_173325,112.5772 ,95.3860 ,3.7696 
PIC_20190420_173429,111.1176 ,94.0766 ,3.7667 
PIC_20190420_173532,109.9083 ,92.7840 ,3.7669 
PIC_20190420_173625,108.6709 ,91.6189 ,3.7689 
PIC_20190420_173727,107.4550 ,90.3293 ,3.7724 
PIC_20190420_173812,106.2099 ,89.2496 ,3.7730 
PIC_20190420_173911,104.3127 ,91.2703 ,3.0536 
PIC_20190420_174014,105.6941 ,92.6083 ,3.0516 
PIC_20190420_174114,107.4016 ,93.9237 ,3.0508 
PIC_20190420_174207,107.8957 ,94.8852 ,3.0494 
PIC_20190420_174256,108.6486 ,95.8680 ,3.0503 
PIC_20190420_174353,109.4159 ,96.7568 ,3.0503 
PIC_20190420_174435,110.1394 ,97.6925 ,3.0516 
PIC_20190420_174525,108.0800 ,99.2477 ,2.3280 
PIC_20190420_174614,106.9617 ,98.1654 ,2.3263 
PIC_20190420_174713,106.0600 ,97.1834 ,2.3274 
PIC_20190420_174801,105.2856 ,96.4228 ,2.3275 
PIC_20190420_174848,104.4563 ,95.5628 ,2.3291 
PIC_20190420_174933,103.6178 ,94.7545 ,2.3308 
PIC_20190420_175023,102.7200 ,93.8639 ,2.3321 
PIC_20190420_175116,101.7029 ,93.0337 ,2.3322 
PIC_20190420_175223,98.8029 ,94.2750 ,1.6034 
PIC_20190420_175318,97.5431 ,93.3061 ,1.6097 
PIC_20190420_175517,97.0339 ,96.5423 ,1.6059 
PIC_20190420_175553,96.3214 ,99.5775 ,1.6060 
PIC_20190420_175651,99.8997 ,96.8406 ,1.6005 
PIC_20190420_175745,103.5793 ,97.5848 ,1.5968 
PIC_20190420_175842,103.8586 ,100.7535 ,1.5987 
